immagine,modello,secondi
bici_vintage,qwen,21.707
bici_vintage,moondream,4.734
foto1,qwen,15.679
foto1,moondream,2.350
foto2,qwen,14.927
foto2,moondream,2.363
foto3,qwen,15.258
foto3,moondream,2.348
foto4,qwen,14.577
foto4,moondream,2.229
foto5,qwen,15.093
foto5,moondream,2.283
foto6,qwen,15.691
foto6,moondream,12.848
foto7,qwen,14.519
foto7,moondream,2.375
foto8,qwen,14.564
foto8,moondream,2.368
metallo_ossidato,qwen,15.378
metallo_ossidato,moondream,2.314
oggetto_epoca,qwen,20.745
oggetto_epoca,moondream,2.208
ritratto_donna,qwen,15.496
ritratto_donna,moondream,13.045
ritratto_uomo,qwen,42.435
ritratto_uomo,moondream,2.536
tessuto,qwen,14.486
tessuto,moondream,2.272
